"Name","State","Notes","User","Tags","Created","Runtime","Sweep","activation","batch_size","conv_layers","dense_layers","dense_units_1","dense_units_2","dense_units_3","dropout_rate","epochs","filters_layer_1","filters_layer_2","filters_layer_3","filters_layer_4","kernel_size","learning_rate","optimizer","strides","accuracy_train","accuracy_val","epoch/epoch","epoch/accuracy","epoch/val_accuracy","epoch/loss","epoch/val_loss","epoch/learning_rate","f1_train","f1_val","precision_train","precision_val","recall_train","recall_val"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:32, dr:0.4, bs:32","finished","-","","","2025-11-22T21:51:11.000Z","103","","","32","3","1","32","","","0.4","","32","32","64","","3","","","2","0.5555555555555556","0.7333333333333333","12","0.855555534362793","0.644444465637207","0.3669357299804687","0.7842704653739929","0.0005000000237487257","0.6460176991150443","0.8","0.5104895104895105","0.75","0.8795180722891566","0.8571428571428571"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:3, du1:64, du2:64, du3:64, dr:0.4, bs:32","finished","-","","","2025-11-22T21:46:49.000Z","125","","","32","3","3","64","64","64","0.4","","32","32","64","","3","","","2","0.65","0.7555555555555555","15","0.8999999761581421","0.6222222447395325","0.2775138020515442","1.2759288549423218","0.0005000000237487257","0.6865671641791045","0.8070175438596491","0.5847457627118644","0.7931034482758621","0.8313253012048193","0.8214285714285714"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:2, du1:64, du2:64, dr:0.4, bs:32","finished","-","","","2025-11-22T21:44:27.000Z","113","","","32","3","2","64","64","","0.4","","32","32","64","","3","","","2","0.5222222222222223","0.6888888888888889","15","0.9333333373069764","0.6222222447395325","0.17908096313476562","1.138860106468201","0.0005000000237487257","0.6416666666666667","0.7741935483870968","0.49044585987261147","0.7058823529411765","0.927710843373494","0.8571428571428571"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:3, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-22T21:36:24.000Z","156","","","32","3","1","64","","","0.4","","32","32","64","","3","","","3","1","0.9111111111111112","45","1","0.9111111164093018","0.024538297206163406","0.2356516569852829","0.0001250000059371814","1","0.9285714285714286","1","0.9285714285714286","1","0.9285714285714286"
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:1, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-22T20:17:16.000Z","1110","","","32","3","1","64","","","0.4","","32","32","64","","3","","","1","0.5555555555555556","0.7111111111111111","10","0.905555546283722","0.6222222447395325","0.2692602574825287","1.0099456310272217","0.0005000000237487257","0.6226415094339622","0.7796610169491526","0.5116279069767442","0.7419354838709677","0.7951807228915663","0.8214285714285714"
"cl:3, fl1:32, fl2:32, fl3:64, ks:5, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-22T19:38:54.000Z","159","","","32","3","1","64","","","0.4","","32","32","64","","5","","","2","0.6166666666666667","0.6888888888888889","10","0.949999988079071","0.6222222447395325","0.15174934267997742","3.777411460876465","0.0005000000237487257","0.5306122448979592","0.6956521739130435","0.609375","0.8888888888888888","0.4698795180722892","0.5714285714285714"
"cl:3, fl1:64, fl2:64, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T02:29:18.000Z","381","","","32","3","1","64","","","0.4","","64","64","64","","3","","","2","0.5277777777777778","0.6888888888888889","11","0.949999988079071","0.6222222447395325","0.1666661947965622","1.6888846158981323","0.0005000000237487257","0.6255506607929515","0.7586206896551724","0.4930555555555556","0.7333333333333333","0.8554216867469879","0.7857142857142857"
"cl:3, fl1:64, fl2:64, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T02:22:18.000Z","354","","","32","3","1","64","","","0.4","","64","64","32","","3","","","2","0.5777777777777777","0.7777777777777778","10","0.905555546283722","0.6222222447395325","0.2684796452522278","1.1300173997879028","0.0005000000237487257","0.6082474226804123","0.8148148148148148","0.5315315315315315","0.8461538461538461","0.7108433734939759","0.7857142857142857"
"cl:3, fl1:64, fl2:64, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T02:11:26.000Z","614","","","32","3","1","64","","","0.4","","64","64","16","","3","","","2","0.7277777777777777","0.8666666666666667","19","0.9611111283302308","0.6222222447395325","0.15530943870544434","1.085064172744751","0.0005000000237487257","0.751269035532995","0.896551724137931","0.6491228070175439","0.8666666666666667","0.891566265060241","0.9285714285714286"
"cl:3, fl1:64, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32","finished","-","","","2025-11-20T01:55:02.000Z","333","","","32","3","1","64","","","0.4","","64","32","64","","3","","","2","0.4888888888888889","0.6888888888888889","10","0.9722222089767456","0.6222222447395325","0.2041412740945816","1.216074824333191","0.0005000000237487257","0.6434108527131783","0.7941176470588235","0.4742857142857143","0.675","1","0.9642857142857144"
