Name,conv_layers,filters_layer_1,filters_layer_2,filters_layer_3,kernel_size,strides,dense_layers,dense_units_1,dense_units_2,dense_units_3,dropout_rate,batch_size,epoch/epoch,epoch/accuracy,epoch/val_accuracy,epoch/loss,epoch/val_loss,epoch/learning_rate,Accuracy Train,Accuracy Validation,Precision Train,Precision Validation,Recall Train,Recall Validation,F1 Train,F1 Validation
"cl:3, fl1:64, fl2:16, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,16.0,32.0,3,2,1,64,,,0.4,32,11,0.8888888955116272,0.6222222447395325,0.2971347272396087,0.8256276249885559,0.0005000000237487,0.5666666666666667,0.4666666666666667,0.6086956521739131,0.75,0.1686746987951807,0.2142857142857142,0.2641509433962264,0.3333333333333333
"cl:3, fl1:64, fl2:16, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,16.0,64.0,3,2,1,64,,,0.4,32,10,0.894444465637207,0.6222222447395325,0.2302412837743759,1.3814070224761963,0.0005000000237487,0.5222222222222223,0.6888888888888889,0.4896551724137931,0.7333333333333333,0.8554216867469879,0.7857142857142857,0.6228070175438597,0.7586206896551724
"cl:3, fl1:64, fl2:32, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,32.0,16.0,3,2,1,64,,,0.4,32,15,0.9666666388511658,0.6222222447395325,0.2041990458965301,1.1217503547668457,0.0005000000237487,0.5611111111111111,0.7111111111111111,0.5131578947368421,0.7272727272727273,0.9397590361445785,0.8571428571428571,0.6638297872340425,0.7868852459016393
"cl:3, fl1:64, fl2:32, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,32.0,32.0,3,2,1,64,,,0.4,32,20,0.9444444179534912,0.6888889074325562,0.1292974650859832,0.5815268754959106,0.0005000000237487,0.4722222222222222,0.6222222222222222,0.4662921348314606,0.6222222222222222,1.0,1.0,0.6360153256704981,0.7671232876712328
"cl:3, fl1:64, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,32.0,64.0,3,2,1,64,,,0.4,32,10,0.9722222089767456,0.6222222447395325,0.2041412740945816,1.216074824333191,0.0005000000237487,0.4888888888888889,0.6888888888888889,0.4742857142857143,0.675,1.0,0.9642857142857144,0.6434108527131783,0.7941176470588235
"cl:3, fl1:64, fl2:64, fl3:16, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,64.0,16.0,3,2,1,64,,,0.4,32,19,0.9611111283302308,0.6222222447395325,0.1553094387054443,1.085064172744751,0.0005000000237487,0.7277777777777777,0.8666666666666667,0.6491228070175439,0.8666666666666667,0.891566265060241,0.9285714285714286,0.751269035532995,0.896551724137931
"cl:3, fl1:64, fl2:64, fl3:32, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,64.0,32.0,3,2,1,64,,,0.4,32,10,0.905555546283722,0.6222222447395325,0.2684796452522278,1.1300173997879028,0.0005000000237487,0.5777777777777777,0.7777777777777778,0.5315315315315315,0.8461538461538461,0.7108433734939759,0.7857142857142857,0.6082474226804123,0.8148148148148148
"cl:3, fl1:64, fl2:64, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:32",3,64,64.0,64.0,3,2,1,64,,,0.4,32,11,0.949999988079071,0.6222222447395325,0.1666661947965622,1.6888846158981323,0.0005000000237487,0.5277777777777778,0.6888888888888889,0.4930555555555556,0.7333333333333333,0.8554216867469879,0.7857142857142857,0.6255506607929515,0.7586206896551724
"cl:3, fl1:32, fl2:32, fl3:64, ks:5, st:2, dl:1, du1:64, dr:0.4, bs:32",3,32,32.0,64.0,5,2,1,64,,,0.4,32,10,0.949999988079071,0.6222222447395325,0.1517493426799774,3.777411460876465,0.0005000000237487,0.6166666666666667,0.6888888888888889,0.609375,0.8888888888888888,0.4698795180722892,0.5714285714285714,0.5306122448979592,0.6956521739130435
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:1, dl:1, du1:64, dr:0.4, bs:32",3,32,32.0,64.0,3,1,1,64,,,0.4,32,10,0.905555546283722,0.6222222447395325,0.2692602574825287,1.0099456310272217,0.0005000000237487,0.5555555555555556,0.7111111111111111,0.5116279069767442,0.7419354838709677,0.7951807228915663,0.8214285714285714,0.6226415094339622,0.7796610169491526
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:3, dl:1, du1:64, dr:0.4, bs:32",3,32,32.0,64.0,3,3,1,64,,,0.4,32,45,1.0,0.9111111164093018,0.0245382972061634,0.2356516569852829,0.0001250000059371,1.0,0.9111111111111112,1.0,0.9285714285714286,1.0,0.9285714285714286,1.0,0.9285714285714286
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:2, du1:64, du2:64, dr:0.4, bs:32",3,32,32.0,64.0,3,2,2,64,64.0,,0.4,32,15,0.9333333373069764,0.6222222447395325,0.1790809631347656,1.138860106468201,0.0005000000237487,0.5222222222222223,0.6888888888888889,0.4904458598726114,0.7058823529411765,0.927710843373494,0.8571428571428571,0.6416666666666667,0.7741935483870968
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:3, du1:64, du2:64, du3:64, dr:0.4, bs:32",3,32,32.0,64.0,3,2,3,64,64.0,64.0,0.4,32,15,0.8999999761581421,0.6222222447395325,0.2775138020515442,1.2759288549423218,0.0005000000237487,0.65,0.7555555555555555,0.5847457627118644,0.7931034482758621,0.8313253012048193,0.8214285714285714,0.6865671641791045,0.8070175438596491
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:32, dr:0.4, bs:32",3,32,32.0,64.0,3,2,1,32,,,0.4,32,12,0.855555534362793,0.644444465637207,0.3669357299804687,0.7842704653739929,0.0005000000237487,0.5555555555555556,0.7333333333333333,0.5104895104895105,0.75,0.8795180722891566,0.8571428571428571,0.6460176991150443,0.8
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:128, dr:0.4, bs:32",3,32,32.0,64.0,3,2,1,128,,,0.4,32,10,0.9444444179534912,0.6666666865348816,0.1975522637367248,0.6491879820823669,0.0005000000237487,0.4722222222222222,0.6222222222222222,0.4662921348314606,0.627906976744186,1.0,0.9642857142857144,0.6360153256704981,0.7605633802816901
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.3, bs:32",3,32,32.0,64.0,3,2,1,64,,,0.3,32,32,0.9888888597488404,0.8444444537162781,0.0493067950010299,0.3711938560009002,0.0005000000237487,0.8777777777777778,0.9111111111111112,0.8426966292134831,0.9285714285714286,0.9036144578313252,0.9285714285714286,0.872093023255814,0.9285714285714286
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.5, bs:32",3,32,32.0,64.0,3,2,1,64,,,0.5,32,17,0.9555555582046508,0.7333333492279053,0.1924934387207031,0.6538172364234924,0.0005000000237487,0.5055555555555555,0.6,0.4825581395348837,0.6190476190476191,1.0,0.9285714285714286,0.6509803921568628,0.7428571428571429
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:16",3,32,32.0,64.0,3,2,1,64,,,0.4,16,26,0.9611111283302308,0.8444444537162781,0.1246659681200981,0.4695663750171661,0.0005000000237487,0.9111111111111112,0.9777777777777776,0.9135802469135802,1.0,0.891566265060241,0.9642857142857144,0.902439024390244,0.9818181818181818
"cl:3, fl1:32, fl2:32, fl3:64, ks:3, st:2, dl:1, du1:64, dr:0.4, bs:64",3,32,32.0,64.0,3,2,1,64,,,0.4,64,10,0.9222221970558168,0.6222222447395325,0.2728171050548553,1.570308804512024,0.0005000000237487,0.7611111111111111,0.7777777777777778,0.7127659574468085,0.875,0.8072289156626506,0.75,0.7570621468926554,0.8076923076923077
